"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14"
0.004,0,0.406,0.38,0.458,0.377777777777778,0,0.00813008130081301,0.170542635658915,0.65702479338843,0,0,0.152173913043478,0.574074074074074
0.006,0.0155555555555556,0.438,0.38,0.4,0.365555555555556,0.00386100386100386,0.00829875518672199,0.126482213438735,0.757085020242915,0.0174291938997821,0.0136054421768707,0.150943396226415,0.638297872340426
0.004,0.0122222222222222,0.436,0.37,0.428,0.376666666666667,0.00772200772200772,0,0.0988142292490119,0.781376518218624,0.0129310344827586,0.0114678899082569,0.145833333333333,0.576923076923077
0,0.00111111111111111,0.444,0.41,0.456,0.384444444444444,0,0,0.463878326996198,0.421940928270042,0.00217391304347826,0,0.403846153846154,0.416666666666667
0.02,0,0.47,0.38,0.41,0.381111111111111,0.0119047619047619,0.0282258064516129,0.526923076923077,0.408333333333333,0,0,0.188679245283019,0.595744680851064
0.018,0.00111111111111111,0.434,0.47,0.416,0.402222222222222,0.0119521912350598,0.0240963855421687,0.406130268199234,0.464435146443515,0.00216450216450216,0,0.42,0.52
0.004,0.00222222222222222,0.418,0.4,0.476,0.404444444444444,0.00813008130081301,0,0.609022556390977,0.200854700854701,0.00222222222222222,0.00222222222222222,0.338709677419355,0.5
0,0.0144444444444444,0.434,0.4,0.412,0.378888888888889,0,0,0.624087591240876,0.20353982300885,0.0173160173160173,0.0114155251141553,0.1,0.7
0.21,0.01,0.462,0.35,0.49,0.4,0.269387755102041,0.152941176470588,0.464419475655431,0.459227467811159,0.0108225108225108,0.0091324200913242,0.12,0.58
0,0.00111111111111111,0.4,0.44,0.462,0.382222222222222,0,0,0.390625,0.409836065573771,0.00220264317180617,0,0.482758620689655,0.380952380952381
0.004,0,0.416,0.45,0.42,0.39,0.00386100386100386,0.004149377593361,0.106719367588933,0.732793522267207,0,0,0.232558139534884,0.614035087719298
0.03,0.0122222222222222,0.416,0.37,0.444,0.384444444444444,0.0277777777777778,0.032258064516129,0.446153846153846,0.383333333333333,0.0108225108225108,0.0136986301369863,0.12,0.62
0.012,0.0344444444444444,0.442,0.43,0.402,0.388888888888889,0.00404858299595142,0.0197628458498024,0.426415094339623,0.459574468085106,0.0411255411255411,0.0273972602739726,0.48,0.38
0.002,0.0133333333333333,0.436,0.49,0.43,0.367777777777778,0,0.00423728813559322,0.116935483870968,0.75,0.012847965738758,0.0138568129330254,0.266666666666667,0.672727272727273
0.19,0.04,0.49,0.4,0.438,0.393333333333333,0.217741935483871,0.162698412698413,0.560606060606061,0.411016949152542,0.0478260869565217,0.0318181818181818,0.442307692307692,0.354166666666667
0,0.01,0.4,0.37,0.454,0.378888888888889,0,0,0.43921568627451,0.359183673469388,0.0131578947368421,0.00675675675675676,0.196428571428571,0.590909090909091
0.004,0.01,0.416,0.36,0.456,0.396666666666667,0.0078740157480315,0,0.189922480620155,0.65702479338843,0.0130718954248366,0.00680272108843537,0.188679245283019,0.553191489361702
0.006,0.0111111111111111,0.406,0.41,0.454,0.386666666666667,0,0.0129310344827586,0.0901639344262295,0.70703125,0.0107991360691145,0.011441647597254,0.204081632653061,0.607843137254902
0,0,0.468,0.37,0.41,0.398888888888889,0,0,0.732142857142857,0.131818181818182,0,0,0.283018867924528,0.468085106382979
0,0,0.44,0.43,0.382,0.38,0,0,0.151394422310757,0.730923694779116,0,0,0.293103448275862,0.619047619047619
0.038,0.00222222222222222,0.42,0.33,0.458,0.417777777777778,0.0404858299595142,0.0355731225296443,0.422641509433962,0.417021276595745,0.0022271714922049,0.00221729490022173,0.349206349206349,0.297297297297297
0,0.01,0.45,0.41,0.42,0.384444444444444,0,0,0.399209486166008,0.502024291497976,0.0107991360691145,0.0091533180778032,0.122448979591837,0.686274509803922
0,0.0444444444444444,0.476,0.36,0.414,0.388888888888889,0,0,0.459915611814346,0.490494296577947,0.0497835497835498,0.0388127853881279,0.38,0.34
0.024,0,0.416,0.41,0.404,0.402222222222222,0.0112781954887218,0.0384615384615385,0.357723577235772,0.47244094488189,0,0,0.440677966101695,0.365853658536585
0,0.00888888888888889,0.484,0.41,0.432,0.39,0,0,0.00803212851405622,0.956175298804781,0.0106609808102345,0.00696055684454756,0.162790697674419,0.596491228070175
0.178,0.0155555555555556,0.506,0.41,0.392,0.386666666666667,0.218623481781377,0.138339920948617,0.532075471698113,0.476595744680851,0.0152173913043478,0.0159090909090909,0.326923076923077,0.5
0,0.0333333333333333,0.454,0.46,0.42,0.382222222222222,0,0,0.146341463414634,0.751968503937008,0.03470715835141,0.0318906605922551,0.392156862745098,0.530612244897959
0,0.0111111111111111,0.484,0.42,0.466,0.386666666666667,0,0,0.906015037593985,0.00427350427350427,0.0152173913043478,0.00681818181818182,0.192307692307692,0.666666666666667
0,0.0111111111111111,0.408,0.45,0.428,0.368888888888889,0,0,0.27906976744186,0.545454545454545,0.0129032258064516,0.00919540229885057,0.212765957446809,0.660377358490566
0,0.0111111111111111,0.482,0.41,0.404,0.378888888888889,0,0,0.441295546558704,0.521739130434783,0.0152838427947598,0.00678733031674208,0.277777777777778,0.565217391304348
0,0.0322222222222222,0.418,0.41,0.42,0.406666666666667,0,0,0.396887159533074,0.440329218106996,0.0417582417582418,0.0224719101123595,0.421052631578947,0.395348837209302
0,0.0355555555555556,0.432,0.48,0.46,0.381111111111111,0,0,0.448669201520913,0.413502109704641,0.0411255411255411,0.0296803652968037,0.42,0.54
0,0.01,0.452,0.39,0.404,0.378888888888889,0,0,0.47148288973384,0.430379746835443,0.0108932461873638,0.0090702947845805,0.245283018867925,0.553191489361702
0,0.0133333333333333,0.426,0.42,0.428,0.383333333333333,0,0,0.437037037037037,0.41304347826087,0.0153172866520788,0.0112866817155756,0.254545454545455,0.622222222222222
0,0.0111111111111111,0.4,0.38,0.42,0.383333333333333,0,0,0.104,0.696,0.0131291028446389,0.0090293453724605,0.272727272727273,0.511111111111111
0,0.0388888888888889,0.448,0.36,0.416,0.401111111111111,0,0,0.428571428571429,0.467741935483871,0.038961038961039,0.0388127853881279,0.36,0.36
0,0.0122222222222222,0.422,0.42,0.428,0.377777777777778,0,0,0.434782608695652,0.408906882591093,0.0152838427947598,0.00904977375565611,0.333333333333333,0.521739130434783
0,0,0.41,0.46,0.438,0.384444444444444,0,0,0.404,0.416,0,0,0.357142857142857,0.590909090909091
0.01,0,0.448,0.36,0.408,0.392222222222222,0.0113636363636364,0.00847457627118644,0.104838709677419,0.785714285714286,0,0,0.208333333333333,0.5
0.026,0.0133333333333333,0.426,0.35,0.414,0.367777777777778,0.0227272727272727,0.0296610169491525,0.407258064516129,0.444444444444444,0.0152173913043478,0.0113636363636364,0.153846153846154,0.5625
0.156,0.0122222222222222,0.506,0.34,0.418,0.393333333333333,0.215447154471545,0.0984251968503937,0.56390977443609,0.44017094017094,0.0172043010752688,0.00689655172413793,0.106382978723404,0.547169811320755
0.004,0,0.438,0.37,0.418,0.382222222222222,0.00772200772200772,0,0.102766798418972,0.781376518218624,0,0,0.283018867924528,0.468085106382979
0.026,0,0.436,0.31,0.398,0.411111111111111,0.0263157894736842,0.0256410256410256,0.41869918699187,0.452755905511811,0,0,0.192307692307692,0.4375
0.2,0.00888888888888889,0.474,0.43,0.43,0.373333333333333,0.306122448979592,0.0980392156862745,0.580524344569288,0.351931330472103,0.00860215053763441,0.00919540229885057,0.276595744680851,0.566037735849057
0.018,0.0144444444444444,0.446,0.36,0.418,0.386666666666667,0.0154440154440154,0.020746887966805,0.41897233201581,0.473684210526316,0.0172413793103448,0.0114678899082569,0.125,0.576923076923077
0.022,0,0.434,0.43,0.464,0.394444444444444,0.0159362549800797,0.0281124497991968,0.432950191570881,0.435146443514644,0,0,0.450980392156863,0.408163265306122
0,0.00111111111111111,0.406,0.39,0.402,0.373333333333333,0,0,0.0901639344262295,0.70703125,0.00212765957446809,0,0.380952380952381,0.396551724137931
0,0.0122222222222222,0.452,0.43,0.382,0.383333333333333,0,0,0.104602510460251,0.770114942528736,0.0127931769722814,0.0116009280742459,0.209302325581395,0.596491228070175
0.02,0,0.438,0.41,0.406,0.373333333333333,0.0233463035019455,0.0164609053497942,0.470588235294118,0.404081632653061,0,0,0.173076923076923,0.666666666666667
0,0,0.476,0.38,0.438,0.406666666666667,0,0,0.675471698113208,0.251063829787234,0,0,0.290909090909091,0.488888888888889
0,0.00888888888888889,0.416,0.37,0.416,0.377777777777778,0,0,0.18359375,0.659836065573771,0.0107758620689655,0.00688073394495413,0.166666666666667,0.557692307692308
0.014,0,0.442,0.32,0.392,0.384444444444444,0.0154440154440154,0.012448132780083,0.450592885375494,0.433198380566802,0,0,0.156862745098039,0.489795918367347
0.002,0.0122222222222222,0.452,0.38,0.392,0.391111111111111,0,0.00431034482758621,0.110655737704918,0.77734375,0.0128205128205128,0.0115740740740741,0.136363636363636,0.571428571428571
0,0.0144444444444444,0.44,0.36,0.432,0.394444444444444,0,0,0.391304347826087,0.489878542510121,0.0173913043478261,0.0113636363636364,0.134615384615385,0.604166666666667
0,0,0.408,0.43,0.434,0.375555555555556,0,0,0.25,0.579166666666667,0,0,0.204545454545455,0.607142857142857
0.008,0.0122222222222222,0.43,0.35,0.424,0.386666666666667,0.00384615384615385,0.0125,0.158730158730159,0.705645161290323,0.0131868131868132,0.0112359550561798,0.192982456140351,0.558139534883721
0,0,0.462,0.39,0.402,0.372222222222222,0,0,0.212,0.712,0,0,0.222222222222222,0.58695652173913
0.19,0.0155555555555556,0.458,0.34,0.492,0.378888888888889,0.200803212851406,0.179282868525896,0.467680608365019,0.447257383966245,0.0173160173160173,0.0136986301369863,0.08,0.6
0.002,0.00666666666666667,0.444,0.45,0.422,0.364444444444444,0.00386100386100386,0,0.142292490118577,0.753036437246964,0.0129589632829374,0,0.244897959183673,0.647058823529412
0,0.0111111111111111,0.424,0.31,0.394,0.388888888888889,0,0,0.203921568627451,0.653061224489796,0.0130434782608696,0.00909090909090909,0.192307692307692,0.4375
0,0.0133333333333333,0.428,0.4,0.466,0.38,0,0,0.21259842519685,0.650406504065041,0.0151187904967603,0.011441647597254,0.204081632653061,0.588235294117647
0.014,0.00888888888888889,0.4,0.44,0.458,0.376666666666667,0.0121951219512195,0.015748031496063,0.406015037593985,0.393162393162393,0.0106609808102345,0.00696055684454756,0.13953488372093,0.666666666666667
0.192,0.0111111111111111,0.45,0.36,0.454,0.391111111111111,0.174418604651163,0.210743801652893,0.44488188976378,0.455284552845528,0.0108225108225108,0.0114155251141553,0.12,0.6
0.194,0.0122222222222222,0.488,0.42,0.438,0.391111111111111,0.166023166023166,0.224066390041494,0.351778656126482,0.62753036437247,0.0152173913043478,0.00909090909090909,0.173076923076923,0.6875
0,0.00222222222222222,0.45,0.46,0.44,0.392222222222222,0,0,0.396887159533074,0.506172839506173,0.00431034482758621,0,0.4375,0.480769230769231
0.012,0,0.424,0.3,0.41,0.398888888888889,0.0116279069767442,0.012396694214876,0.0984251968503937,0.760162601626016,0,0,0.163636363636364,0.466666666666667
0.008,0.0133333333333333,0.432,0.42,0.406,0.393333333333333,0.00772200772200772,0.00829875518672199,0.138339920948617,0.732793522267207,0.0129310344827586,0.0137614678899083,0.229166666666667,0.596153846153846
0,0.01,0.436,0.4,0.432,0.385555555555556,0,0,0.20703125,0.676229508196721,0.0148619957537155,0.00466200466200466,0.170731707317073,0.559322033898305
0.03,0.0111111111111111,0.436,0.31,0.462,0.405555555555556,0.0316205533596838,0.0283400809716599,0.378378378378378,0.49792531120332,0.0131578947368421,0.00900900900900901,0.196428571428571,0.454545454545455
0.002,0,0.408,0.31,0.428,0.404444444444444,0.00395256916996047,0,0.413127413127413,0.402489626556017,0,0,0.2,0.444444444444444
0,0.00666666666666667,0.408,0.45,0.46,0.37,0,0,0.393700787401575,0.422764227642276,0.00871459694989107,0.00453514739229025,0.30188679245283,0.617021276595745
0.032,0.0366666666666667,0.442,0.51,0.406,0.372222222222222,0.0403225806451613,0.0238095238095238,0.454545454545455,0.427966101694915,0.0414847161572052,0.0316742081447964,0.574074074074074,0.434782608695652
0.02,0,0.442,0.32,0.442,0.398888888888889,0.0278884462151394,0.0120481927710843,0.46360153256705,0.418410041841004,0,0,0.183673469387755,0.450980392156863
