"method","err"
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"radial svm",0
"radial svm",0.0174291938997821
"radial svm",0.0129310344827586
"radial svm",0.00217391304347826
"radial svm",0
"radial svm",0.00216450216450216
"radial svm",0.00222222222222222
"radial svm",0.0173160173160173
"radial svm",0.0108225108225108
"radial svm",0.00220264317180617
"radial svm",0
"radial svm",0.0108225108225108
"radial svm",0.0411255411255411
"radial svm",0.012847965738758
"radial svm",0.0478260869565217
"radial svm",0.0131578947368421
"radial svm",0.0130718954248366
"radial svm",0.0107991360691145
"radial svm",0
"radial svm",0
"radial svm",0.0022271714922049
"radial svm",0.0107991360691145
"radial svm",0.0497835497835498
"radial svm",0
"radial svm",0.0106609808102345
"radial svm",0.0152173913043478
"radial svm",0.03470715835141
"radial svm",0.0152173913043478
"radial svm",0.0129032258064516
"radial svm",0.0152838427947598
"radial svm",0.0417582417582418
"radial svm",0.0411255411255411
"radial svm",0.0108932461873638
"radial svm",0.0153172866520788
"radial svm",0.0131291028446389
"radial svm",0.038961038961039
"radial svm",0.0152838427947598
"radial svm",0
"radial svm",0
"radial svm",0.0152173913043478
"radial svm",0.0172043010752688
"radial svm",0
"radial svm",0
"radial svm",0.00860215053763441
"radial svm",0.0172413793103448
"radial svm",0
"radial svm",0.00212765957446809
"radial svm",0.0127931769722814
"radial svm",0
"radial svm",0
"radial svm",0.0107758620689655
"radial svm",0
"radial svm",0.0128205128205128
"radial svm",0.0173913043478261
"radial svm",0
"radial svm",0.0131868131868132
"radial svm",0
"radial svm",0.0173160173160173
"radial svm",0.0129589632829374
"radial svm",0.0130434782608696
"radial svm",0.0151187904967603
"radial svm",0.0106609808102345
"radial svm",0.0108225108225108
"radial svm",0.0152173913043478
"radial svm",0.00431034482758621
"radial svm",0
"radial svm",0.0129310344827586
"radial svm",0.0148619957537155
"radial svm",0.0131578947368421
"radial svm",0
"radial svm",0.00871459694989107
"radial svm",0.0414847161572052
"radial svm",0
"radial svm",0.0479302832244009
"radial svm",0
"radial svm",0.0132743362831858
"radial svm",0.0488888888888889
"radial svm",0.0152173913043478
"radial svm",0.00852878464818763
"radial svm",0.0393013100436681
"radial svm",0.00634249471458774
"radial svm",0.0153846153846154
"radial svm",0
"radial svm",0.0367965367965368
"radial svm",0.043859649122807
"radial svm",0.00219298245614035
"radial svm",0.0107758620689655
"radial svm",0
"radial svm",0.0131291028446389
"radial svm",0.0394736842105263
"radial svm",0.0414847161572052
"radial svm",0
"radial svm",0.00863930885529158
"radial svm",0
"radial svm",0.0130151843817787
"radial svm",0.0110864745011086
"radial svm",0
"radial svm",0.0353982300884956
"radial svm",0.0130151843817787
"radial svm",0.0150537634408602
"logistic",0.317596566523605
"logistic",0.366013071895425
"logistic",0.34698275862069
"logistic",0.36304347826087
"logistic",0.339869281045752
"logistic",0.341991341991342
"logistic",0.397777777777778
"logistic",0.324675324675325
"logistic",0.352813852813853
"logistic",0.348017621145374
"logistic",0.311300639658849
"logistic",0.348484848484849
"logistic",0.376623376623377
"logistic",0.306209850107066
"logistic",0.352173913043478
"logistic",0.364035087719298
"logistic",0.324618736383442
"logistic",0.332613390928726
"logistic",0.333333333333333
"logistic",0.354625550660793
"logistic",0.369710467706013
"logistic",0.367170626349892
"logistic",0.313852813852814
"logistic",0.355408388520971
"logistic",0.300639658848614
"logistic",0.341304347826087
"logistic",0.34056399132321
"logistic",0.360869565217391
"logistic",0.356989247311828
"logistic",0.342794759825328
"logistic",0.356043956043956
"logistic",0.333333333333333
"logistic",0.339869281045752
"logistic",0.341356673960613
"logistic",0.334792122538293
"logistic",0.331168831168831
"logistic",0.34061135371179
"logistic",0.353070175438596
"logistic",0.338362068965517
"logistic",0.341304347826087
"logistic",0.324731182795699
"logistic",0.342047930283224
"logistic",0.36304347826087
"logistic",0.326881720430108
"logistic",0.329741379310345
"logistic",0.360086767895879
"logistic",0.308510638297872
"logistic",0.302771855010661
"logistic",0.321739130434783
"logistic",0.361050328227571
"logistic",0.321120689655172
"logistic",0.353579175704989
"logistic",0.337606837606838
"logistic",0.352173913043478
"logistic",0.324786324786325
"logistic",0.342857142857143
"logistic",0.353711790393013
"logistic",0.33982683982684
"logistic",0.326133909287257
"logistic",0.347826086956522
"logistic",0.319654427645788
"logistic",0.332622601279318
"logistic",0.331168831168831
"logistic",0.334782608695652
"logistic",0.336206896551724
"logistic",0.345733041575492
"logistic",0.359913793103448
"logistic",0.32484076433121
"logistic",0.368421052631579
"logistic",0.343544857768052
"logistic",0.333333333333333
"logistic",0.338427947598253
"logistic",0.332613390928726
"logistic",0.342047930283224
"logistic",0.353846153846154
"logistic",0.353982300884956
"logistic",0.342222222222222
"logistic",0.33695652173913
"logistic",0.321961620469083
"logistic",0.347161572052402
"logistic",0.310782241014799
"logistic",0.364835164835165
"logistic",0.346491228070175
"logistic",0.324675324675325
"logistic",0.368421052631579
"logistic",0.348684210526316
"logistic",0.344827586206897
"logistic",0.360262008733624
"logistic",0.361050328227571
"logistic",0.346491228070175
"logistic",0.35589519650655
"logistic",0.347161572052402
"logistic",0.341252699784017
"logistic",0.365800865800866
"logistic",0.353579175704989
"logistic",0.363636363636364
"logistic",0.320594479830149
"logistic",0.365044247787611
"logistic",0.342733188720174
"logistic",0.335483870967742
"logistic lasso",0.296137339055794
"logistic lasso",0
"logistic lasso",0.34051724137931
"logistic lasso",0.269565217391304
"logistic lasso",0.337690631808279
"logistic lasso",0.331168831168831
"logistic lasso",0.346666666666667
"logistic lasso",0.272727272727273
"logistic lasso",0.268398268398268
"logistic lasso",0.341409691629956
"logistic lasso",0.298507462686567
"logistic lasso",0.305194805194805
"logistic lasso",0.37012987012987
"logistic lasso",0
"logistic lasso",0
"logistic lasso",0.348684210526316
"logistic lasso",0.339869281045752
"logistic lasso",0.110151187904968
"logistic lasso",0.32244008714597
"logistic lasso",0
"logistic lasso",0.412026726057906
"logistic lasso",0.280777537796976
"logistic lasso",0.274891774891775
"logistic lasso",0.381898454746137
"logistic lasso",0
"logistic lasso",0.232608695652174
"logistic lasso",0.314533622559653
"logistic lasso",0.232608695652174
"logistic lasso",0.354838709677419
"logistic lasso",0.338427947598253
"logistic lasso",0.353846153846154
"logistic lasso",0.331168831168831
"logistic lasso",0.328976034858388
"logistic lasso",0.308533916849015
"logistic lasso",0.339168490153173
"logistic lasso",0
"logistic lasso",0.342794759825328
"logistic lasso",0.355263157894737
"logistic lasso",0.269396551724138
"logistic lasso",0.341304347826087
"logistic lasso",0.154838709677419
"logistic lasso",0.348583877995643
"logistic lasso",0.352173913043478
"logistic lasso",0.148387096774194
"logistic lasso",0.172413793103448
"logistic lasso",0.275488069414317
"logistic lasso",0.240425531914894
"logistic lasso",0
"logistic lasso",0.31304347826087
"logistic lasso",0
"logistic lasso",0.323275862068966
