"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14"
0.02,0,0.424,0.38,0.433137254901961,0.341111873713109,0.0118110236220472,0.0284552845528455,0.430232558139535,0.417355371900826,0,0,0.152173913043478,0.574074074074074
0.028,0,0.438,0.48,0.398039215686274,0.333695408734602,0.0392156862745098,0.0163265306122449,0.420233463035019,0.45679012345679,0,0,0.175,0.683333333333333
0.03,0.0155555555555556,0.424,0.4,0.394230769230769,0.365299205236092,0.0384615384615385,0.0208333333333333,0.369047619047619,0.479838709677419,0.0193965517241379,0.0114678899082569,0.104166666666667,0.673076923076923
0.026,0,0.436,0.46,0.379372549019608,0.367870500233754,0.0237154150197628,0.0283400809716599,0.467181467181467,0.402489626556017,0,0,0.26,0.66
0,0,0.464,0.34,0.428156862745098,0.368478260869565,0,0,0.498098859315589,0.426160337552743,0,0,0.192307692307692,0.5
0,0,0.446,0.31,0.351269956458636,0.363487611033193,0,0,0.2,0.692,0,0,0.156862745098039,0.469387755102041
0.006,0.00888888888888889,0.432,0.44,0.379208998548621,0.336559139784946,0.00383141762452107,0.00836820083682008,0.099601593625498,0.767068273092369,0.010752688172043,0.00689655172413793,0.127659574468085,0.716981132075472
0,0,0.456,0.39,0.356349782293179,0.366853798375537,0,0,0.213709677419355,0.694444444444444,0,0,0.185185185185185,0.630434782608696
0,0.0111111111111111,0.432,0.38,0.415019607843137,0.368817204301075,0,0,0.407692307692308,0.458333333333333,0.0130151843817787,0.00911161731207289,0.313725490196078,0.448979591836735
0.008,0.0133333333333333,0.428,0.38,0.406297134238311,0.390598290598291,0.0116731517509728,0.00411522633744856,0.164705882352941,0.702040816326531,0.0176600441501104,0.00894854586129754,0.288135593220339,0.51219512195122
0.016,0.0122222222222222,0.432,0.4,0.406509803921569,0.355294530154278,0.0159362549800797,0.0160642570281124,0.417624521072797,0.447698744769874,0.0129589632829374,0.011441647597254,0.122448979591837,0.666666666666667
0.004,0.00111111111111111,0.422,0.41,0.402564102564103,0.392259913999044,0.00778210116731518,0,0.141176470588235,0.714285714285714,0,0.00226757369614512,0.433962264150943,0.382978723404255
0.004,0.0111111111111111,0.422,0.45,0.356603773584906,0.32612674445207,0,0.00851063829787234,0.0890688259109312,0.74703557312253,0.0127931769722814,0.00928074245939675,0.116279069767442,0.701754385964912
0,0,0.41,0.34,0.385195936139332,0.372043010752688,0,0,0.123505976095618,0.698795180722892,0,0,0.148936170212766,0.509433962264151
0,0.0133333333333333,0.43,0.43,0.384588235294118,0.35169471715755,0,0,0.218390804597701,0.661087866108787,0.0173160173160173,0.0091324200913242,0.16,0.7
0,0,0.466,0.28,0.341614255765199,0.376075268817204,0,0,0.192622950819672,0.7265625,0,0,0.1875,0.365384615384615
0.006,0.0388888888888889,0.44,0.44,0.404390420899855,0.400645007166746,0.00766283524904215,0.00418410041841004,0.155378486055777,0.726907630522088,0.0502183406113537,0.0271493212669683,0.444444444444444,0.434782608695652
0,0,0.518,0.31,0.393468795355588,0.393793828892006,0,0,0.934545454545455,0.00888888888888889,0,0,0.137254901960784,0.489795918367347
0,0.00111111111111111,0.486,0.39,0.379825834542816,0.391587301587302,0,0,0.0120481927710843,0.956175298804781,0.00221238938053097,0,0.4,0.375
0,0,0.43,0.36,0.418156862745098,0.345744680851064,0,0,0.615969581749049,0.223628691983122,0,0,0.285714285714286,0.413793103448276
0,0.00111111111111111,0.422,0.36,0.375507982583454,0.390336837075968,0,0,0.155378486055777,0.690763052208835,0.00219298245614035,0,0.375,0.340909090909091
0,0.0377777777777778,0.44,0.43,0.382862745098039,0.389763497372193,0,0,0.428030303030303,0.453389830508475,0.0436681222707424,0.0316742081447964,0.444444444444444,0.41304347826087
0,0,0.486,0.44,0.375960866526904,0.34461366181411,0,0,0.0122448979591837,0.941176470588235,0,0,0.179487179487179,0.60655737704918
0.01,0.0166666666666667,0.422,0.42,0.414705882352941,0.325886524822695,0.0121457489878543,0.00790513833992095,0.441509433962264,0.4,0.0192307692307692,0.0138888888888889,0.136363636363636,0.642857142857143
0,0.0122222222222222,0.446,0.36,0.396980392156863,0.379569892473118,0,0,0.439393939393939,0.453389830508475,0.0129032258064516,0.0114942528735632,0.191489361702128,0.509433962264151
0.002,0.00555555555555556,0.446,0.43,0.375943396226415,0.372614962251201,0,0.00420168067226891,0.416,0.476,0.00428265524625268,0.0069284064665127,0.311111111111111,0.527272727272727
0,0,0.432,0.33,0.398642533936652,0.387888198757764,0,0,0.235294117647059,0.636734693877551,0,0,0.113207547169811,0.574468085106383
0,0,0.44,0.44,0.346261355695318,0.345939144360558,0,0,0.146938775510204,0.72156862745098,0,0,0.288888888888889,0.563636363636364
0,0,0.424,0.4,0.371757164404223,0.366164095371669,0,0,0.168627450980392,0.689795918367347,0,0,0.204081632653061,0.588235294117647
0.004,0.0311111111111111,0.404,0.4,0.386274509803922,0.371739130434783,0.00392156862745098,0.00408163265306122,0.178988326848249,0.641975308641975,0.0391304347826087,0.0227272727272727,0.442307692307692,0.354166666666667
0.004,0,0.394,0.46,0.418966817496229,0.343559826126744,0,0.00826446280991736,0.12992125984252,0.666666666666667,0,0,0.266666666666667,0.618181818181818
0.012,0,0.416,0.42,0.42579185520362,0.37797419971333,0.0078125,0.0163934426229508,0.4453125,0.385245901639344,0,0,0.320754716981132,0.531914893617021
0,0,0.43,0.36,0.40052790346908,0.384615384615385,0,0,0.46875,0.389344262295082,0,0,0.245614035087719,0.511627906976744
0,0.0133333333333333,0.458,0.38,0.288345864661654,0.36195652173913,0,0,0.0779220779220779,0.784386617100372,0.0195652173913043,0.00681818181818182,0.173076923076923,0.604166666666667
0.026,0.01,0.412,0.45,0.416,0.338323983169705,0.024,0.028,0.408396946564886,0.415966386554622,0.0129310344827586,0.00688073394495413,0.229166666666667,0.653846153846154
0.19,0,0.46,0.43,0.407843137254902,0.352802562342713,0.175510204081633,0.203921568627451,0.453183520599251,0.467811158798283,0,0,0.27906976744186,0.543859649122807
0.01,0.0144444444444444,0.458,0.29,0.337037037037037,0.396858576206402,0.0148148148148148,0.00434782608695652,0.0702479338842975,0.821705426356589,0.0197368421052632,0.00900900900900901,0.160714285714286,0.454545454545455
0,0.0133333333333333,0.43,0.38,0.402262443438914,0.367964001870033,0,0,0.352941176470588,0.510204081632653,0.0173160173160173,0.0091324200913242,0.22,0.54
0,0,0.47,0.45,0.381966618287373,0.36997557997558,0,0,0.711678832116788,0.176991150442478,0,0,0.396551724137931,0.523809523809524
0.022,0.0111111111111111,0.402,0.37,0.426,0.346739130434783,0.024,0.02,0.400763358778626,0.403361344537815,0.0130434782608696,0.00909090909090909,0.134615384615385,0.625
0,0.0344444444444444,0.436,0.41,0.40105580693816,0.374193548387097,0,0,0.169291338582677,0.711382113821138,0.0408602150537634,0.0275862068965517,0.425531914893617,0.39622641509434
0,0,0.518,0.42,0.298214285714286,0.37354276158624,0,0,0.00431034482758621,0.962686567164179,0,0,0.339622641509434,0.51063829787234
0.018,0,0.422,0.4,0.430627450980392,0.371954132823698,0.0283400809716599,0.00790513833992095,0.441509433962264,0.4,0,0,0.309090909090909,0.511111111111111
0.006,0.01,0.434,0.37,0.38895173453997,0.381043956043956,0.00389105058365759,0.00823045267489712,0.176470588235294,0.702040816326531,0.0109170305676856,0.00904977375565611,0.222222222222222,0.543478260869565
0.002,0.0133333333333333,0.394,0.42,0.450980392156863,0.345967741935484,0.00392156862745098,0,0.147859922178988,0.654320987654321,0.0130151843817787,0.0136674259681093,0.176470588235294,0.673469387755102
0.004,0,0.442,0.35,0.325943396226415,0.378833567087424,0.00378787878787879,0.00423728813559322,0.0766129032258065,0.801587301587302,0,0,0.26,0.44
0.004,0.0122222222222222,0.454,0.36,0.335377358490566,0.357748948106592,0,0.00847457627118644,0.116935483870968,0.785714285714286,0.0150862068965517,0.00917431192660551,0.125,0.576923076923077
0.036,0,0.45,0.38,0.375507982583454,0.360460495558672,0.0421455938697318,0.0292887029288703,0.410358565737052,0.48995983935743,0,0,0.22,0.54
0.018,0,0.442,0.46,0.359879336349925,0.33936170212766,0.00778210116731518,0.0288065843621399,0.384313725490196,0.502040816326531,0,0,0.19047619047619,0.655172413793103
0,0.0333333333333333,0.424,0.38,0.441960784313725,0.392478632478632,0,0,0.425855513307985,0.421940928270042,0.0334075723830735,0.0332594235033259,0.380952380952381,0.378378378378378
0.024,0,0.45,0.44,0.4,0.381111111111111,0.0285714285714286,0.0196078431372549,0.52059925093633,0.369098712446352,0,0,0.354838709677419,0.578947368421053
0,0.0133333333333333,0.456,0.37,0.343396226415094,0.355282842449743,0,0,0.149797570850202,0.754940711462451,0.0129589632829374,0.0137299771167048,0.183673469387755,0.549019607843137
0,0,0.432,0.47,0.357692307692308,0.352115474520804,0,0,0.142857142857143,0.725806451612903,0,0,0.469387755102041,0.470588235294118
0.002,0,0.444,0.35,0.399058823529412,0.368747078073866,0,0.00404858299595142,0.177606177606178,0.730290456431535,0,0,0.215686274509804,0.489795918367347
0.002,0,0.45,0.32,0.369230769230769,0.370465170640486,0.00384615384615385,0,0.166666666666667,0.737903225806452,0,0,0.163265306122449,0.470588235294118
0,0,0.486,0.37,0.346296296296296,0.389317438055166,0,0,0.00413223140495868,0.937984496124031,0,0,0.235294117647059,0.510204081632653
0,0,0.436,0.34,0.35290346907994,0.373626373626374,0,0,0.145669291338583,0.735772357723577,0,0,0.175438596491228,0.558139534883721
0,0,0.466,0.44,0.45043137254902,0.362374581939799,0,0,0.478764478764479,0.452282157676349,0,0,0.314814814814815,0.58695652173913
0,0.00222222222222222,0.454,0.37,0.413725490196078,0.396703296703297,0,0,0.455252918287938,0.452674897119342,0.0043956043956044,0,0.368421052631579,0.372093023255814
0.002,0.00111111111111111,0.408,0.33,0.384615384615385,0.391379731379731,0,0.00416666666666667,0.353174603174603,0.463709677419355,0.00221729490022173,0,0.295081967213115,0.384615384615385
0.014,0.0111111111111111,0.464,0.41,0.39356862745098,0.376051122790253,0.024390243902439,0.00393700787401575,0.447368421052632,0.482905982905983,0.0109649122807018,0.0112612612612613,0.285714285714286,0.568181818181818
0,0.01,0.428,0.38,0.417058823529412,0.372218326320711,0,0,0.615094339622641,0.217021276595745,0.0108225108225108,0.0091324200913242,0.18,0.58
0.026,0,0.434,0.51,0.384506531204644,0.33765778401122,0.0303030303030303,0.0211864406779661,0.439516129032258,0.428571428571429,0,0,0.3,0.72
0,0,0.494,0.42,0.338888888888889,0.341249142072752,0,0,0.0165289256198347,0.941860465116279,0,0,0.302325581395349,0.508771929824561
0,0,0.45,0.31,0.480470588235294,0.368817204301075,0,0,0.492307692307692,0.404166666666667,0,0,0.148936170212766,0.452830188679245
0,0.0133333333333333,0.426,0.36,0.357162823200559,0.368817204301075,0,0,0.158536585365854,0.68503937007874,0.0150537634408602,0.0114942528735632,0.191489361702128,0.509433962264151
0.002,0,0.42,0.39,0.429638009049774,0.396822742474916,0.00390625,0,0.21484375,0.635245901639344,0,0,0.321428571428571,0.477272727272727
0,0.0122222222222222,0.428,0.34,0.458666666666667,0.370967741935484,0,0,0.437735849056604,0.417021276595745,0.0129032258064516,0.0114942528735632,0.212765957446809,0.452830188679245
0.022,0.00888888888888889,0.432,0.41,0.392960812772134,0.351921757035003,0.0191570881226054,0.0251046025104603,0.430278884462151,0.433734939759036,0.0107296137339056,0.00691244239631336,0.304347826086957,0.5
0,0.0111111111111111,0.422,0.37,0.413490196078431,0.362926103866392,0,0,0.669172932330827,0.141025641025641,0.0107066381156317,0.0115473441108545,0.155555555555556,0.545454545454545
0.004,0.0111111111111111,0.432,0.35,0.352236198462614,0.365509583917719,0.00374531835205993,0.00429184549356223,0.0857142857142857,0.764705882352941,0.0108459869848156,0.0113895216400911,0.176470588235294,0.530612244897959
0,0.0133333333333333,0.424,0.29,0.404864253393665,0.370652173913044,0,0,0.466666666666667,0.373913043478261,0.0130434782608696,0.0136363636363636,0.134615384615385,0.458333333333333
0.002,0,0.444,0.44,0.403607843137255,0.36030855539972,0.00393700787401575,0,0.387596899224806,0.504132231404959,0,0,0.32,0.56
0.002,0,0.422,0.43,0.351923076923077,0.363639551192146,0,0.00416666666666667,0.119047619047619,0.729838709677419,0,0,0.24,0.62
0,0.00222222222222222,0.42,0.33,0.416666666666667,0.40025641025641,0,0,0.176923076923077,0.683333333333333,0.00221729490022173,0.0022271714922049,0.311475409836066,0.358974358974359
0.008,0.0144444444444444,0.414,0.38,0.391704374057315,0.398315814620162,0.0154440154440154,0,0.126482213438735,0.708502024291498,0.0218340611353712,0.00678733031674208,0.222222222222222,0.565217391304348
0.022,0,0.468,0.39,0.367722473604827,0.368478260869565,0.0272373540856031,0.0164609053497942,0.47843137254902,0.457142857142857,0,0,0.288461538461538,0.5
0.008,0.00111111111111111,0.418,0.39,0.446039215686275,0.383695652173913,0.00793650793650794,0.00806451612903226,0.334615384615385,0.508333333333333,0,0.00227272727272727,0.346153846153846,0.4375
0.026,0,0.442,0.33,0.407692307692308,0.357595515900252,0.0230769230769231,0.0291666666666667,0.428571428571429,0.455645161290323,0,0,0.133333333333333,0.490909090909091
0.002,0.0133333333333333,0.426,0.34,0.378084179970972,0.384099748341341,0,0.00420168067226891,0.396,0.456,0.0128755364806867,0.0138248847926267,0.173913043478261,0.481481481481481
0,0,0.484,0.43,0.435294117647059,0.350492721164614,0,0,0.887640449438202,0.0214592274678112,0,0,0.175,0.6
0.018,0.0133333333333333,0.41,0.47,0.375529411764706,0.338721116449325,0.0158102766798419,0.0202429149797571,0.397683397683398,0.423236514522822,0.0170940170940171,0.00925925925925926,0.136363636363636,0.732142857142857
0,0.00888888888888889,0.492,0.35,0.384470246734398,0.382799808886765,0,0,0.757246376811594,0.165178571428571,0.0131291028446389,0.00451467268623025,0.163636363636364,0.577777777777778
0,0.0122222222222222,0.438,0.47,0.426627450980392,0.385836385836386,0,0,0.678030303030303,0.169491525423729,0.0110864745011086,0.0133630289532294,0.557377049180328,0.333333333333333
0,0.0133333333333333,0.428,0.34,0.386465892597968,0.391304347826087,0,0,0.152610441767068,0.701195219123506,0.0173913043478261,0.00909090909090909,0.173076923076923,0.520833333333333
0.024,0,0.422,0.4,0.430769230769231,0.377795031055901,0.0333333333333333,0.0153846153846154,0.422794117647059,0.421052631578947,0,0,0.222222222222222,0.608695652173913
0.002,0.0133333333333333,0.422,0.4,0.397247360482655,0.365787545787546,0,0.00413223140495868,0.137795275590551,0.715447154471545,0.0176211453744493,0.00896860986547085,0.327586206896552,0.5
0.002,0.0111111111111111,0.456,0.51,0.367416545718433,0.353763440860215,0.00378787878787879,0,0.157258064516129,0.75,0.0150537634408602,0.00689655172413793,0.382978723404255,0.622641509433962
0,0,0.422,0.37,0.423529411764706,0.380434782608696,0,0,0.357976653696498,0.489711934156379,0,0,0.173076923076923,0.583333333333333
0,0.0111111111111111,0.444,0.44,0.419137254901961,0.353905876731964,0,0,0.686792452830189,0.170212765957447,0.0130718954248366,0.0090702947845805,0.150943396226415,0.765957446808511
0,0.00111111111111111,0.41,0.41,0.384615384615385,0.355913978494624,0,0,0.182539682539683,0.641129032258065,0.0021505376344086,0,0.340425531914894,0.471698113207547
0.006,0.0155555555555556,0.45,0.42,0.385429769392034,0.356074124914207,0.0037593984962406,0.00854700854700855,0.105691056910569,0.783464566929134,0.0170575692963753,0.0139211136890951,0.0930232558139535,0.666666666666667
0,0.0122222222222222,0.446,0.37,0.364366515837104,0.37635577372604,0,0,0.409448818897638,0.483739837398374,0.0130151843817787,0.0113895216400911,0.254901960784314,0.489795918367347
0.004,0.0155555555555556,0.436,0.36,0.400435413642961,0.371739130434783,0.00766283524904215,0,0.139442231075697,0.734939759036145,0.0173913043478261,0.0136363636363636,0.134615384615385,0.604166666666667
0,0,0.426,0.42,0.438705882352941,0.371858576206402,0,0,0.534615384615385,0.308333333333333,0,0,0.254545454545455,0.622222222222222
0.012,0.00222222222222222,0.462,0.33,0.332693602693603,0.393022440392707,0.0183823529411765,0.0043859649122807,0.0833333333333333,0.811538461538462,0.00431965442764579,0,0.346938775510204,0.313725490196078
0,0.04,0.43,0.36,0.431176470588235,0.388742368742369,0,0,0.456603773584906,0.4,0.0484581497797357,0.031390134529148,0.344827586206897,0.380952380952381
0,0.0155555555555556,0.428,0.4,0.439098039215686,0.356680393502631,0,0,0.612781954887218,0.217948717948718,0.0192307692307692,0.0115740740740741,0.0227272727272727,0.696428571428571
0,0.0388888888888889,0.438,0.35,0.397647058823529,0.390217391304348,0,0,0.48062015503876,0.392561983471074,0.0391304347826087,0.0386363636363636,0.403846153846154,0.291666666666667
0,0,0.46,0.45,0.409615384615385,0.373626373626374,0,0,0.6875,0.18859649122807,0,0,0.473684210526316,0.418604651162791
